country_full,rank
Afghanistan,151.0
Albania,66.0
Algeria,44.0
American Samoa,188.0
Andorra,162.0
Angola,92.0
Anguilla,209.0
Antigua and Barbuda,148.0
Argentina,1.0
Armenia,96.0
Aruba,194.0
Australia,23.0
Austria,25.0
Azerbaijan,111.0
Bahamas,203.0
Bahrain,81.0
Bangladesh,185.0
Barbados,177.0
Belarus,98.0
Belgium,3.0
Belize,184.0
Benin,91.0
Bermuda,171.0
Bhutan,183.0
Bolivia,84.0
Bosnia and Herzegovina,75.0
Botswana,145.0
Brazil,4.0
British Virgin Islands,207.0
Brunei Darussalam,191.0
Bulgaria,82.0
Burkina Faso,67.0
Burundi,140.0
Cabo Verde,65.0
Cambodia,180.0
Cameroon,49.0
Canada,48.0
Cayman Islands,195.0
Central African Republic,127.0
Chad,178.0
Chile,40.0
China PR,88.0
Chinese Taipei,163.0
Colombia,12.0
Comoros,119.0
Congo,113.0
Congo DR,61.0
Cook Islands,187.0
Costa Rica,52.0
Croatia,9.0
Cuba,169.0
Curacao,87.0
Cyprus,126.0
Czechia,34.0
Czechoslovakia,19.0
Côte d'Ivoire,37.0
Denmark,21.0
Djibouti,193.0
Dominica,182.0
Dominican Republic,150.0
Ecuador,30.0
Egypt,36.0
El Salvador,80.0
England,5.0
Equatorial Guinea,89.0
Eritrea,195.0
Estonia,123.0
Eswatini,154.0
Ethiopia,143.0
Faroe Islands,139.0
Fiji,166.0
Finland,63.0
France,2.0
Gabon,83.0
Georgia,74.0
Germany,16.0
Ghana,64.0
Gibraltar,198.0
Greece,51.0
Grenada,173.0
Guam,204.0
Guatemala,106.0
Guinea,77.0
Guinea-Bissau,115.0
Guyana,153.0
Haiti,86.0
Honduras,78.0
Hong Kong,157.0
Hungary,27.0
IR Iran,20.0
Iceland,70.0
India,124.0
Indonesia,134.0
Iraq,55.0
Israel,79.0
Italy,10.0
Jamaica,53.0
Japan,17.0
Jordan,68.0
Kazakhstan,109.0
Kenya,108.0
Korea DPR,110.0
Korea Republic,22.0
Kosovo,105.0
Kuwait,137.0
Kyrgyz Republic,101.0
Laos,189.0
Latvia,138.0
Lebanon,117.0
Lesotho,149.0
Liberia,142.0
Libya,118.0
Liechtenstein,199.0
Lithuania,136.0
Luxembourg,85.0
Macau,186.0
Madagascar,104.0
Malawi,125.0
Malaysia,135.0
Maldives,160.0
Mali,50.0
Malta,172.0
Mauritania,112.0
Mauritius,179.0
Mexico,15.0
Moldova,152.0
Mongolia,190.0
Montenegro,72.0
Montserrat,176.0
Morocco,12.0
Mozambique,103.0
Myanmar,164.0
Namibia,97.0
Nepal,175.0
Netherlands,7.0
Netherlands Antilles,150.0
New Caledonia,158.0
New Zealand,107.0
Nicaragua,130.0
Niger,128.0
Nigeria,38.0
North Macedonia,71.0
Northern Ireland,73.0
Norway,46.0
Oman,76.0
Pakistan,197.0
Palestine,95.0
Panama,43.0
Papua New Guinea,165.0
Paraguay,58.0
Peru,31.0
Philippines,147.0
Poland,26.0
Portugal,6.0
Puerto Rico,156.0
Qatar,35.0
Republic of Ireland,60.0
Romania,47.0
Russia,33.0
Rwanda,131.0
Samoa,181.0
San Marino,210.0
Sao Tome and Principe,192.0
Saudi Arabia,56.0
Scotland,39.0
Senegal,18.0
Serbia,32.0
Serbia and Montenegro,36.0
Seychelles,201.0
Sierra Leone,122.0
Singapore,159.0
Slovakia,45.0
Slovenia,57.0
Solomon Islands,133.0
Somalia,202.0
South Africa,59.0
South Sudan,167.0
Spain,8.0
Sri Lanka,205.0
St Kitts and Nevis,146.0
St Lucia,168.0
St Vincent and the Grenadines,174.0
Sudan,121.0
Suriname,141.0
Sweden,28.0
Switzerland,19.0
Syria,93.0
Tahiti,161.0
Tajikistan,102.0
Tanzania,114.0
Thailand,100.0
The Gambia,132.0
Timor-Leste,196.0
Togo,120.0
Tonga,200.0
Trinidad and Tobago,99.0
Tunisia,41.0
Turkey,42.0
Turkmenistan,144.0
Turks and Caicos Islands,206.0
US Virgin Islands,208.0
USA,11.0
Uganda,94.0
Ukraine,24.0
United Arab Emirates,69.0
Uruguay,14.0
Uzbekistan,62.0
Vanuatu,170.0
Venezuela,54.0
Vietnam,116.0
Wales,29.0
Yemen,155.0
Yugoslavia,16.0
Zaire,59.0
Zambia,90.0
Zimbabwe,129.0
